地名名稱,地名別稱,所屬縣市,所屬鄉鎮市區,所屬村里,地名類型,地名意義,語言別,命名族群,相關位置與面積描述,地名沿革與文獻歷史簡述,地名相關事項訪談內容,普查使用之地圖與文獻,地圖座標(橫坐標),地圖座標(縱坐標),地名年代時間(起),地名年代時間(迄),漢語拼音,通用拼音
火燒莊,,新北市,土城區,"貨饒里,",,一說係客家村莊，大埔客及饒平客合成一莊，各取一字，稱大饒莊，因械鬥，河洛人欺稱火燒莊。,閩南語,,,"""火燒莊""-今土城市""裕民路""、""貨饒里""及土地銀行一帶。有關""火燒莊""一詞,在""台灣老地名""中,有雅稱為""好收寮""、""好收村""...等。蓋""火燒""一詞粗俗之故也。光復後,取國語發音,改名為""貨饒村""。傳說:日據時代""新莊""轄區內二十幾名日軍,沿大漢溪巡查,結果受到狙擊,僅一人生,日軍為報復,遂見村燒村、見人殺人,後人為紀念這段史實,將本地命名為""火燒莊""。","今日之""火燒莊"",學校林立,人口眾多,頗有土城文教區之勢。第一大廟為""裕民路""的""三元宮"",為""光緒""年間創立。供奉""三官大帝""。然已非舊貌。為現今""貨饒里""民眾信仰中心。",,121.44895401868,24.991583264782,,,Huoshaozhuang,Huoshaojhuang
永豐寮,,新北市,土城區,"延和里,",,,閩南語,,,,"包括現在""看守所""後面一帶,也就是現在的""延和里""。有一座漂亮完整的古厝-羅家古厝(永興堂)。",土城市行政區域圖,121.46259889065,24.988612512549,,,Yongfengliao,Yongfongliao
永豐磚窯,,新北市,土城區,"金城里,",,,,,,燒製磚塊。,"已經沒落,消失了;位於""五分店仔"",(林阿坤議員家業)。正確位置在:金城路三段66號(溪仔邊烤肉飯)後面。",,121.46604033613,24.986642960397,,,Yongfengzhuanyao,Yongfongjhuanyao
五分店仔,,新北市,土城區,"金城里,",,,閩南語,,,,"約現在""肯德基""至""福益廣場"",也就是金城路、立德路口一帶。現仍有一座古厝-""永慶堂""-在永豐路延吉街口附近。",,121.46472284093,24.985928064069,,,Wufendianzai,Wufendianzai
福寮宮,李仔坑,新北市,土城區,"廷寮里,",,,閩南語,,,將近200年歷史的土地公廟。,"在現在永豐路旁,是正牌的廷寮里土地公廟。供奉一尊「石刻」土地公神像。因附近種了許多李子,所以又稱「李仔坑」。(現在已經沒有李樹了)(去年桃芝颱風這裡發生嚴重土石流)",,121.47269833399,24.976883151875,,,"Fuliao Temple","Fuliao Temple"
何厝,,新北市,土城區,"延壽里,",,,,,,何天超→何五掌(第五房)→何迎進(11房)→何子奎→何石壁→何茂陽→何益成,"在現在的「延壽里」,延壽路一帶。為富豪何石壁產業,現已全部改建為公寓大廈。有「北辰宮」-延壽路109巷1號(包括板橋莒光路一帶,中和土城交界處)",土城市行政區域圖,121.46841554264,24.993074312316,,,Hecuo,Hecuo
華克山莊,,新北市,土城區,"廷寮里,",,,閩南語,,,"在土城永豐路255巷21弄-27弄。建商劉俊雄先生於民國七十二年在此地蓋別墅型公寓出售,原先取名為""雪克山莊""。大概有二十年的歷史。此地原種植橘子和蓮霧。","在內藤寮、中坑、永豐路尾。乃至""二尖山""步道必經之地。常有登山客經過,附近生態豐富。",土城市行政區域圖,121.47627394705,24.973429546037,,,"Huake Villa","Huake Villa"
大埔,,新北市,土城區,"清化里,",,,閩南語,,,,"石門路1號到24號叫做「大埔」台北市少年觀護所-石門路四號,就是位於""大埔""。",土城市行政區域圖,121.45829301682,24.970084392891,,,Dapu,Dapu
田螺穴,,新北市,土城區,"清化里,",,,閩南語,,,,"石門路24號以後,叫做""田螺穴""。目前有一處工地,在整治溪床沿岸。",土城市行政區域圖,121.45903153923,24.967829985784,,,Tianluoxue,Tianluosyue
崩坎仔,,新北市,土城區,"清化里,",,坎應為崁，崩坎意為崩塌成崖之意。,閩南語,,,,"在""德天宮""和""大西河塑膠""的對面山坡。",,121.45851238994,24.965948407618,,,Bengkanzai,Bengkanzai
龍柏坑,良伯坑,新北市,土城區,"清化里,",,,閩南語,,,,"""天靈宮""一帶,在石門路57號,周圍一帶。",土城市行政區域圖,121.46002028497,24.962899297962,,,Longbokeng,Longbokeng
四坵田,,新北市,土城區,"清化里,",,,閩南語,,,,"在石門路底,觀自在和文筆山附近,舊名""四坵田""。四坵田上面是觀自在,再上面就是""翡翠湖""。",土城行政區域圖,121.46795327833,24.956409056822,,,Siqiutian,Sihcioutian
刺竹窩,,新北市,土城區,"清化里,",,,閩南語,,,"種植""刺竹""。","現只剩少數幾叢刺竹。石門路67號一帶,有一座土地公廟;""觀音寺""""石門""上面。(觀音寺:石門路54號)",,121.45794464087,24.958843957784,,,Cizhuwo,Cihjhuwo
火炭坑,,新北市,土城區,"清化里,",,,,,,"火炭坑在練武嶺附近,過了練武嶺就到新店市了。","居民以前在這裡用品質極優的相思樹枝燒製木炭,現在由於家家戶戶改用瓦斯,所以已經不再燒製木炭了,但仍叫做""火炭坑""。",土城市行政區域圖,121.46245204123,24.95374267119,,迄今,Huotankeng,Huotankeng
土地公坑,,新北市,土城區,"清化里,",,,閩南語,,,種茶。,"在""青雲路587巷""。共有四間土地公廟;""福興宮""、""六福宮""、""青山宮""另一間不知名。""宏昌豆干店""已經不在了,有江姓老屋一棟。",,121.46517644032,24.970977037809,,,Tudigongkeng,Tudigongkeng
茅仔嶺,,新北市,土城區,"清化里,",,,閩南語,,,"茅仔嶺和竿蓁林一樣,是1900年(明治33年),土城煤礦201號礦區;有復興煤礦(青雲路665號),民國62年收撤。","除了採煤(現已停採),這裡一直種植著牧草和茅草(存疑)。尚有一座尚未開採的油井。",土城市行政區域圖、土城市煤業興衰史,121.46100705956,24.966686138809,,迄今,"Maozai Mountain","Maozai Mountain"
風櫃嘴仔,,新北市,土城區,"清化里,",,,閩南語,,,,"青雲路底和新店市交界處山坳有一風口,風勢強勁,所以叫做""風櫃嘴仔""。",土城市行政區域圖,121.47546961793,24.96487135067,,,Fengguizuizai,Fonggueizueizai
溪仔邊,溪仔邊後山,新北市,土城區,,,,,,,"土城市清水里,土名溪子邊後山,當台北岔地之東南邊緣;地形為一突入台北盆地之山嘴,海拔約20公尺,由南方大山發脈而來,長約1公里多,至此而盡。嘴寬約三百公尺。北、東方皆有山嶼。冷水坑溪縈繞二方嶼外,終年不涸,嶼口平地沿溪邊有住戶錯落,故曰""溪子邊""。此處有遺址發現,共獲打剝製石器四件。","溪仔邊沿線是""青雲路""與""石門路""交界。跨清水里與清化里。大部分在石門路(清化里);與市志所寫,稍有出入。",土城市志、土城市行政區域圖,121.4592550767,24.96660131255,,,Xizaibian,Sizaibian
清水大尖山,大尖山,新北市,土城區,,山嶺,,閩南語,,,"標高274公尺,山頂設有一圖基點,旁有高壓電塔,大尖山與二尖山如兄妹般並立,二山間有道路相連,從青雲路587巷的巷口進入約走800公尺即到登山口。由各個角度看,清水大尖山的山形,都有如一個粽子尖,這可算是辨認本山的方法。","大尖山,有許多螺殼化石,有""飛鼠""出沒,傳說:每到下雨天便有白馬和船錨鐵鍊在山上出現。山上有一間""慈聖宮""。",土城市志,121.47110472134,24.970287553689,,,"Cingshuei Dajian Mountain","Cingshuei Dajian Mountain"
竿蓁林,,新北市,土城區,,,,閩南語,,,1900年(明治33年)土城201號礦區之一。(石門路),"竿蓁林應是菅芒林的閩南語讀音。停止採煤後,這裡改種""牧草""。(菅芒草,故掃帚)石門路69號到79號(一說到81號)。",土城市行政區域圖、土城煤業興衰史,121.46232194415,24.960377356395,,迄今,Ganzhenlin,Ganjhenlin
內冷水坑,,新北市,土城區,,四等城市,,,,,"""清朝""時代的""淡水廳志"",即有""冷水坑莊""之記載,""冷水坑""一詞;指的是今""清水溪"",""青雲路""右線及""石門路""一帶;根據""洪敏麟""教授""臺灣老地名""沿革所云;""乾隆""年間,由泉州人""廖孝""所開闢,因為山區天然泉水,冰冷甘涼,遂命名為""冷水坑""。至今由""四海工商專校""為界,後段仍保有""內冷水坑""之地名,前段""外冷水坑""則改名為""清水溪""。","內冷水坑現在之""清化里""。早期(日據時期至光復)居民以種茶為主,後來工廠進駐,居民遂放棄種茶,茶葉採收後都交到""林德""老鄉的茶行。",土城市行政區域圖,121.45974072504,24.971040972221,,,Neilengshuikeng,Neilengshueikeng
二落厝,,新北市,土城區,"峰廷里,",,,閩南語,,,,"台北縣議員林阿坤家族住所。在以前的峰廷村,現在的峰廷里範圍:延安街至延峰街,延吉街、金城路包圍的中間地帶。(峰廷里)有古厝:長興居(姓)-徐家厝護龍所改。",土城市行政區域圖,121.46783456507,24.986383843648,,,Erluocuo,Erluocuo
三落厝,,新北市,土城區,"安和里,",,,閩南語,,,,"在延和路,(原來的中正路)屬外廷寮,以前這裡是:廷寮村2鄰,現在是延和路41巷;三落厝:游姓家族;有古厝:崇榮居。",土城市行政區域圖,121.46689484684,24.990622472042,,,Sanluocuo,Sanluocuo
延壽里,,新北市,土城區,"延壽里,",,,閩南語,,,"昔為平和村(昔為峰廷村),因外來人口驟增,建築商大量興建住宅,人口倍增,於民國七十九年四月與安和村,由平和村劃分增村,住戶大部份居於延壽路(何厝),故定名延壽村。","屬昔之""外藤寮坑"";在金城路287巷有古厝名曰""濟陽堂""有""江厝""和""廖厝""兩舊地名。濟陽堂是江厝的祖祠,另有家神廟;廖厝祖祠正在改建中(金城路三段122號)。",土城市志、土城市行政區域圖,121.47277757257,24.990968045337,,迄今,"Yanshou Village","Yanshou Village"
三角陂仔,,新北市,土城區,"永豐里,",,三角形的灌溉埤塘,閩南語,,,,"在清水路220巷至234巷;因有一灌溉用的池塘而得名,現在該池塘已經填土,蓋了一座籃球場和清水社區活動中心;有一座""曹家古厝""。",土城市行政區域圖,121.46212993696,24.98222125413,,,Sanjiaopizai,Sanjiaopizai
檳榔嵙仔,,新北市,土城區,"青山里,",,,閩南語,,,"產煤,有""志昌""煤礦,民國49年,產量達14830公噸,後來分為""民益"",""土城""兩礦。","在""青山路"",青山里,有""志昌""礦坑-在青山路底。",土城煤業興衰史,121.46350452432,24.975261975325,,,Binlangkezai,Binlangkezai
青仔堤,,新北市,土城區,"清化里,",,,閩南語,,,,"在""德霖技術學院""(四海工專),宿舍後和大有巴士一帶,青雲路380巷裡面。""清水岩""就在""青仔堤"",是一座寺廟,供奉觀音菩薩。",,121.45849376573,24.972104090525,,,Qingzaiti,Cingzaiti
游厝,,新北市,土城區,"清水里,",,,閩南語,,,,"在清水路98巷,屬""外冷水坑""。有古厝一處。",,121.45758602592,24.981132091057,,,Youcuo,Youcuo
二尖山,,新北市,土城區,,山嶺,,,,,"二尖山標高230公尺,無基點,與大尖山如兄妹般並立,有道路相連。較大尖山平坦易行。",,土城采山,121.46883442285,24.968599847749,,,"Erjian Mountain","Erjian Mountain"
天上山,內坡山、皇帝山,新北市,土城區,,,,,,,"天山山高429.75公尺,有基點,屬""插天山""餘脈,山稜瘦狹,坡度起伏大,水稜多。是土城山系第一高峰,因它的高度傲視附近群山山頭,(大尖山、二尖山、五城山...等)且位居山列的中央位置,頗具領袖,帝王之勢,故又稱其為皇帝山。",,土城市志、土城采山,121.46291118274,24.948793978831,,,"Tianshang Mountain","Tianshang Mountain"
甘露寺,,新北市,土城區,"清化里,",寺廟,,,,,"石門路56號之處,即是""甘露寺""山門,行走約2公里,可到甘露寺;全程平坦適合健行。寺前可眺望大台北地區,左方有山路往石門路、天上山,並接南天母系統的山道。甘露寺祀奉的主神為觀音苦薩,寺後的山路邊建了一座石觀音像,在土城金城路上,即可望見祂。","實地察訪,發現地址應是:石門路54號;下方溪流有一處石壁分立左右,水從中間流過,稱為""石門""。石門路即因此得名。",土城采山,121.454842777,24.953445483153,,迄今,"Ganlou Temple","Ganlou Temple"
文筆山,,新北市,土城區,"清化里,",,,,,,"標高330M,無基點;入口:石門路沿石門橋左邊上坡路進入,將至頂點時左邊有一座靈骨塔(觀自在),""文筆山""就在觀自在後,須登289階的登雲梯,坡度幾乎達80度。是一絕佳的眺望地點,登高遠望,北台灣的地理形勢盡在眼前。","有個老地名叫做""十八分仔""。山上有""觀自在"",""觀自在""內有""金龍寶塔""。",土城采山,121.46947567807,24.958401225949,,迄今,"Wenbi Mountain","Wunbi Mountain"
台北市少年觀護所,,新北市,土城區,"清化里,",地方機關,,,,,"成立於六十七年七月一日,原址:台北市愛國東路1-1號,少年觀護所,收容12歲以上,未滿18歲之刑事被告及管訓少年。主要任務在協助調查收容少年品性,經歷、身心狀況、教育程度、家庭情形、社會環境等,供少年法庭處理時之參考,兼以矯治被收容少年之身心,使其適於社會正常生活為目的。","位於""大埔""(舊地名)。",土城市志、土城行政區域圖,121.45883900685,24.96929583782,,迄今,"Taipei City Shaonianguanhusuo","Taipei City Shaonianguanhusuo"
五城山,練武嶺,新北市,土城區,,,"山友在山頂自闢-平台,命名為練武嶺。",,,,"五城山標高418公尺,無基點,位於皇帝山與安坑山之間,北麓延伸至本市清化里石門路;南麓至新店市,是土城第二高峰。",,土城采山、土城市志,121.46459832722,24.950012806453,,迄今,"Wuchengs Mountain","Wucheng Mountain"
清水中學,,新北市,土城區,"永富里,",,,,,,"設於土城市清水地區,民國八十年正式成立,為土城市第三國中,尤育士先生為首任校長;現已發展成一所完全中學。台灣五大家族之""板橋""、""林本源""後代,三品大官""林維讓""大人的名山佳城,就在清水區內,取""皇帝山""與""大尖山""龍脈為寶座,以淡水河之""觀音山""為宴桌,是早年土城最尊貴之風水,而現今""清水中學""行政大樓區,正是當年""林家""龍穴所在地。","現在地址:土城市明德路一段72號,校門前有魚池。",土城市志,121.46432789994,24.981762738062,,,"Cingshuei High school","Cingshuei High school"
溪墘庄,,新北市,蘆洲區,,,溪河交流的沙地,,,,溪墘庄其地處於淡水河與五股的小溪交界而得此名，在雍正年間，即有八里坌的業戶，沿觀音山山麓可達此區，至嘉慶年間，才有泉州李姓人氏開始開闢，至日治時期行政劃分為庄。,溪墘庄現為蘆洲市劃分為仁復里、仁德里、仁義里、恒德里、溪墘里、樹德里、得仁里等行政區。,,121.47578274777,25.079335381628,清代,,Xiqizhuang,Sicijhuang
南港仔庄,,新北市,蘆洲區,,,"地勢低窪積水的爛泥地,平埔族南港社居住於此故曰之",,,,早期地勢低窪、經年水濕、泥土濕軟，可稱瀾泥巴地，亦有南港仔溝水道於此，即以方諳「湳港子」稱謂。後傳訛為其地於淡溶凸之南邊的濕地而謂「南港子」，而另一說法是早期原住民平埔族中的凱達格蘭之一支的「南港社」居住於本地，故名「南港仔」，但並未得到文獻證明，若早期為濕軟的土地，何能住人。,「南港仔」這區域於嘉慶年間，泉籍李姓人氏進入開闢，為今日蘆洲南港、正義、永樂、永康等里。,,121.46063446412,25.08891919433,,,Nangangzaizhuang,Nangangzaijhuang
中路庄,,新北市,蘆洲區,,,"開墾地於中央開路得名,兄弟分家以草結繩標中間的路為界。昔移民在淡水河口，沿觀音山麓東行至新莊，適當其中，故名(~洪敏麟)",,,,嘉慶初年，泉州人張溫來此開闢，有二種傳說：①1.當初此地荒埔，無任何街道，張溫便於中央開路方便連絡八里、五股、新莊等地，使交通更為便利。②2.因張氏兄弟分家，以草結成繩子，並標示中間的路為分界，因此而名為中路。,現今為本市中路里、中華里、中原里、光明里、光華里、九芎里等地。,,121.46470810745,25.082500637129,清嘉慶年間,,Zhongluzhuang,Jhonglujhuang
王爺宮庄,,新北市,蘆洲區,,,,,,,咸豐年間陳用仲、陳世祥建池府王爺廟（保佑宮）於水湳區，其後廟的周遭居民漸聚，於日治時期劃分為王爺宮庄，屬芝蘭二堡管轄。,王爺宮庄現為蘆洲市保佑里區域,,121.46807362994,25.088574751258,日治時期明治年間,,Wangyegongzhuang,Wangyegongjhuang
